P,T,N2,O2,Ar,y_N2,y_O2,y_Ar,x_N2,x_O2,x_Ar,vap_rho,liq_rho,vap_etlp,liq_etlp,vap_F,liq_F
564.1239024,-173.7492587,0.632408423,0.354081948,0.013509629,0.807322964,0.183571395,0.009105641,0.628418749,0.35797117,0.013610081,0.788134523,28.02631045,-5938.349528,-11175.20395,0.01238923,0.543166325
564.1239024,-173.7492587,0.632408423,0.357806938,0.009784639,0.808300886,0.185109446,0.006589669,0.629157982,0.360998337,0.009843681,0.788140289,28.02419336,-5942.147137,-11181.6319,0.010080225,0.545475331
564.1239024,-173.7492587,0.632408423,0.361531928,0.006059649,0.809279261,0.186642966,0.004077773,0.629895921,0.364016277,0.006087802,0.788146048,28.02207512,-5945.938821,-11188.0447,0.007781295,0.547774261
564.1239024,-173.7492587,0.632408423,0.365256918,0.002334659,0.810258114,0.188172027,0.001569859,0.630632591,0.367025113,0.002342296,0.788151802,28.01995568,-5949.724719,-11194.44258,0.00549239,0.550063166
564.1239024,-173.6941617,0.624947262,0.354081948,0.02097079,0.802366657,0.183504285,0.014129058,0.62227325,0.356652843,0.021073906,0.787541666,28.06338349,-5928.752663,-11166.34599,0.008248843,0.547306713
564.1239024,-173.6941617,0.624947262,0.357806938,0.0172458,0.803341575,0.185048102,0.011610323,0.623010494,0.359682524,0.017306982,0.787547426,28.06128223,-5932.553057,-11172.76928,0.005966705,0.549588851
564.1239024,-173.6941617,0.624947262,0.361531928,0.01352081,0.804316988,0.186587417,0.009095596,0.623746484,0.362703083,0.013550434,0.787553179,28.05917963,-5936.347632,-11179.17769,0.003694398,0.551861157
564.1239024,-173.6941617,0.624947262,0.365256918,0.00979582,0.805292915,0.188122299,0.006584786,0.624481243,0.36571464,0.009804117,0.787558926,28.05707566,-5940.136523,-11185.57143,0.001431874,0.554123681
564.1239024,-173.6941617,0.628677843,0.354081948,0.017240209,0.803311981,0.185001317,0.011686702,0.622988139,0.359590714,0.017421147,0.787547251,28.06134602,-5932.43781,-11172.57457,0.017529276,0.538026279
564.1239024,-173.6941617,0.628677843,0.357806938,0.013515219,0.804294188,0.186551496,0.009154316,0.623729299,0.3626326,0.013638102,0.787553044,28.05922878,-5936.259024,-11179.0281,0.015225502,0.540330054
564.1239024,-173.6941617,0.628677843,0.361531928,0.009790229,0.805276864,0.188097096,0.006626041,0.624469171,0.365665191,0.009865638,0.787558831,28.05711027,-5940.074265,-11185.46641,0.0129317,0.542623855
564.1239024,-173.6941617,0.628677843,0.365256918,0.006065239,0.80626003,0.189638187,0.004101783,0.625207781,0.368688612,0.006103606,0.787564612,28.05499042,-5943.883674,-11191.88972,0.010647821,0.544907734
564.1239024,-173.6941617,0.632408423,0.354081948,0.013509629,0.804271069,0.18651507,0.009213861,0.623711873,0.362561125,0.013727002,0.787552908,28.05927862,-5936.169172,-11178.87641,0.026758077,0.528797478
564.1239024,-173.6941617,0.632408423,0.357806938,0.009784639,0.805260589,0.188071541,0.00666787,0.624456931,0.365615054,0.009928016,0.787558735,28.05714535,-5940.011142,-11185.35993,0.024432557,0.531122999
564.1239024,-173.6941617,0.632408423,0.361531928,0.006059649,0.806250551,0.189623355,0.004126093,0.625200668,0.368659515,0.006139817,0.787564556,28.05501086,-5943.846985,-11191.82788,0.022117155,0.533438401
564.1239024,-173.6941617,0.632408423,0.365256918,0.002334659,0.80724098,0.191170586,0.001588435,0.62594311,0.371694636,0.002362254,0.787570371,28.05287509,-5947.676844,-11198.28049,0.019811819,0.535743736
564.1239024,-173.6390646,0.621216682,0.354081948,0.02470137,0.798340851,0.184921865,0.016737284,0.616862293,0.35824055,0.024897158,0.786955469,28.09829347,-5922.803202,-11163.67838,0.013329978,0.542225578
564.1239024,-173.6390646,0.621216682,0.357806938,0.02097638,0.79931995,0.18647775,0.0142023,0.617601374,0.361284739,0.021113887,0.786961254,28.09619255,-5926.62694,-11170.12673,0.011052829,0.544502727
564.1239024,-173.6390646,0.621216682,0.361531928,0.01725139,0.800299557,0.188029085,0.011671357,0.618339208,0.364319743,0.017341049,0.786967034,28.09409016,-5930.444813,-11176.56013,0.008785411,0.546770144
564.1239024,-173.6390646,0.621216682,0.365256918,0.0135264,0.801279695,0.189575941,0.009144364,0.61907582,0.36734568,0.0135785,0.786972808,28.09198626,-5934.256958,-11182.97878,0.006527677,0.549027879
564.1239024,-173.6390646,0.624947262,0.354081948,0.02097079,0.799283865,0.186420504,0.014295631,0.617574165,0.361172738,0.021253098,0.786961041,28.09626999,-5926.486157,-11169.88941,0.02254236,0.533013196
564.1239024,-173.6390646,0.624947262,0.357806938,0.0172458,0.800270249,0.18798275,0.011747001,0.618317158,0.364229097,0.017453745,0.786966861,28.09415307,-5930.330704,-11176.36792,0.020243633,0.535311923
564.1239024,-173.6390646,0.624947262,0.361531928,0.01352081,0.801257117,0.189540369,0.009202514,0.61905887,0.367276098,0.013665032,0.786972675,28.09203473,-5934.169233,-11182.83113,0.017954778,0.537600778
